id:ID,label:LABEL,name,concept,value,normalized_value,value_type,unit_ref,source_file,dimensions,description
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_ec445c2bcabb,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,7014833,7014833,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken27""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_91411137244d,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,51156,51156,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken28""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_fc495309ab7b,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,10715408,10715408,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken29""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_cb9297d526fd,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,602791,602791,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken30""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_96b44cef94f0,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,94244,94244,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken31""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_42978db726df,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,1484884,1484884,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken32""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_0cc691d0bc2d,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,194283,194283,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken33""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_9c454b0a6ea9,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,377967,377967,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken34""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_4eec12638c5e,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,509744,509744,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken35""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_40b48a1af530,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,1442612,1442612,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken36""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_1b686d22894e,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,204626,204626,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken37""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_2142842ef017,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,194394,194394,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken38""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_6e76aaa10e1e,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,5233755,5233755,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken39""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_401462a27946,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,51156,51156,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken40""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_421c7436ab3b,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,51156,51156,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken41""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_fd58f78a1b0b,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,102313,102313,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken42""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_c0351e678265,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,738720,738720,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken43""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_2ee3c0edfb6d,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,2698126,2698126,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken44""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_152b5ab0bc53,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,511564,511564,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken45""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_a80ba2985580,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,4563005,4563005,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken46""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_17a67203edb0,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,248587,248587,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken47""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_d0ab9c3f50b9,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,41431,41431,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken48""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_494955e7004b,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,366503,366503,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken49""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_f52d1620dd8d,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,1903071,1903071,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken50""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_6da31a364e8d,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,303674,303674,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken51""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_ffe4eb4d6b9e,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,408549,408549,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken52""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_e773927061a1,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,21153175,21153175,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken53""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_f6b1c1dee87d,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,4616391,4616391,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken54""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_4b38ce29f15d,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,1409652,1409652,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken55""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_6e4d27ed24ef,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,703739,703739,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken56""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_c03e99e206d7,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,347664,347664,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken57""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_3fda7b89bbf8,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,561759,561759,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken58""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_9021edd8c0bc,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,306939,306939,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken59""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_b0671361f7e3,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,1157716,1157716,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken60""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_80f9d8383a38,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,282731,282731,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken61""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_cd4e7bb90158,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,358095,358095,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken62""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_721974918389,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,807907,807907,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken63""}",
Fact_RELIANCE_AmountSpentForCSRProjectsUndertaken_2025_670febc6f613,ESGMetric;Fact,RELIANCE AmountSpentForCSRProjectsUndertaken (2025),AmountSpentForCSRProjectsUndertaken,2162152,2162152,numeric,INR,FY2025-26.xml,"{""in-capmkt:CSRProjectsUndertakenAxis"": ""CSRProjectsUndertaken64""}",
