brsr_id,target_id,mapping,confidence,verification,eval_provider,eval_model,reasoning,explanation,issues
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_7_Scope_3_GHG_emissions,narrowMatch,0.2998,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 30.0%,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_7_Scope_3_GHG_emissions with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q5_4738630364456196912,Disclosure_Disclosure_305_5_Reduction_of_GHG_emissions,broadMatch,0.2975,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 29.8%,"Verified alignment for Disclosure_Q5_4738630364456196912 <-> Disclosure_Disclosure_305_5_Reduction_of_GHG_emissions with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_7_Scope_3_GHG_emissions_31,broadMatch,0.2982,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 29.8%,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_7_Scope_3_GHG_emissions_31 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q5_4738630364456196912,Disclosure_Disclosure_102_5_Scope_1_GHG_emissions,narrowMatch,0.2906,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 29.1%,"Verified alignment for Disclosure_Q5_4738630364456196912 <-> Disclosure_Disclosure_102_5_Scope_1_GHG_emissions with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_8_GHG_emissions_intensity,narrowMatch,0.2906,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 29.1%,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_8_GHG_emissions_intensity with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q3_7691261722040331206,Disclosure_Disclosure_301_2_Recycled_input_materials_used,broadMatch,0.2982,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 29.8%,"Verified alignment for Disclosure_Q3_7691261722040331206 <-> Disclosure_Disclosure_301_2_Recycled_input_materials_used with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_305_4_GHG_emissions_intensity,broadMatch,0.2902,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 29.0%,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_305_4_GHG_emissions_intensity with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q5_4738630364456196912,Disclosure_Disclosure_305_3_Other_indirect_Scope_3_GHG_emis,broadMatch,0.2891,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 28.9%,"Verified alignment for Disclosure_Q5_4738630364456196912 <-> Disclosure_Disclosure_305_3_Other_indirect_Scope_3_GHG_emis with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q5_4738630364456196912,Disclosure_Disclosure_102_5_Scope_1_GHG_emissions_25,broadMatch,0.2867,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 28.7%,"Verified alignment for Disclosure_Q5_4738630364456196912 <-> Disclosure_Disclosure_102_5_Scope_1_GHG_emissions_25 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q5_4738630364456196912,Disclosure_Disclosure_305_5_Reduction_of_GHG_emissions_17,broadMatch,0.2917,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 29.2%,"Verified alignment for Disclosure_Q5_4738630364456196912 <-> Disclosure_Disclosure_305_5_Reduction_of_GHG_emissions_17 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q4_-6365141755975586128,Disclosure_Disclosure_301_3_Reclaimed_products_and_their_pack,narrowMatch,0.2899,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 29.0%,"Verified alignment for Disclosure_Q4_-6365141755975586128 <-> Disclosure_Disclosure_301_3_Reclaimed_products_and_their_pack with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q18_1786218148450392899,Disclosure_Disclosure_2_8_Workers_who_are_not_employees_18,broadMatch,0.2652,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 26.5%,"Verified alignment for Disclosure_Q18_1786218148450392899 <-> Disclosure_Disclosure_2_8_Workers_who_are_not_employees_18 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_305_5_Reduction_of_GHG_emissions,broadMatch,0.2865,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 28.7%,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_305_5_Reduction_of_GHG_emissions with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q24_7549452836008929946,Disclosure_Disclosure_2_6_Activities_value_chain_and_other_b,broadMatch,0.2681,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 26.8%,"Verified alignment for Disclosure_Q24_7549452836008929946 <-> Disclosure_Disclosure_2_6_Activities_value_chain_and_other_b with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q5_4738630364456196912,Disclosure_Disclosure_305_4_GHG_emissions_intensity,broadMatch,0.2825,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 28.2%,"Verified alignment for Disclosure_Q5_4738630364456196912 <-> Disclosure_Disclosure_305_4_GHG_emissions_intensity with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q5_4738630364456196912,Disclosure_Disclosure_102_8_GHG_emissions_intensity,narrowMatch,0.2819,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 28.2%,"Verified alignment for Disclosure_Q5_4738630364456196912 <-> Disclosure_Disclosure_102_8_GHG_emissions_intensity with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q1_5402110912519703836,Disclosure_Disclosure_302_1_Energy_consumption_within_the_org,broadMatch,0.2804,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 28.0%,"Verified alignment for Disclosure_Q1_5402110912519703836 <-> Disclosure_Disclosure_302_1_Energy_consumption_within_the_org with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q2_1108849182902078442,Disclosure_Disclosure_303_2_Management_of_water_discharge_rel,broadMatch,0.2809,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 28.1%,"Verified alignment for Disclosure_Q2_1108849182902078442 <-> Disclosure_Disclosure_303_2_Management_of_water_discharge_rel with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q1_-3785314918126152655,Disclosure_Disclosure_414_2_Negative_social_impacts_in_the_su,narrowMatch,0.296,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 29.6%,"Verified alignment for Disclosure_Q1_-3785314918126152655 <-> Disclosure_Disclosure_414_2_Negative_social_impacts_in_the_su with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_8_GHG_emissions_intensity_34,broadMatch,0.2832,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 28.3%,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_8_GHG_emissions_intensity_34 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q3_7691261722040331206,Disclosure_Disclosure_301_2_Recycled_input_materials_used_9,broadMatch,0.2938,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 29.4%,"Verified alignment for Disclosure_Q3_7691261722040331206 <-> Disclosure_Disclosure_301_2_Recycled_input_materials_used_9 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_305_5_Reduction_of_GHG_emissions_17,broadMatch,0.2865,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 28.7%,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_305_5_Reduction_of_GHG_emissions_17 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_102_4_GHG_emissions_reduction_targets_a,broadMatch,0.2876,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 28.8%,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_102_4_GHG_emissions_reduction_targets_a with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_305_3_Other_indirect_Scope_3_GHG_emis,broadMatch,0.2783,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 27.8%,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_305_3_Other_indirect_Scope_3_GHG_emis with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q4_-8665709853907658340,Disclosure_Disclosure_404_2_Programs_for_upgrading_employee_s,broadMatch,0.2891,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 28.9%,"Verified alignment for Disclosure_Q4_-8665709853907658340 <-> Disclosure_Disclosure_404_2_Programs_for_upgrading_employee_s with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q5_4738630364456196912,Disclosure_Disclosure_102_8_GHG_emissions_intensity_34,broadMatch,0.2795,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 27.9%,"Verified alignment for Disclosure_Q5_4738630364456196912 <-> Disclosure_Disclosure_102_8_GHG_emissions_intensity_34 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q24_7549452836008929946,Disclosure_Disclosure_2_13_Delegation_of_responsibility_for_m,broadMatch,0.2568,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 25.7%,"Verified alignment for Disclosure_Q24_7549452836008929946 <-> Disclosure_Disclosure_2_13_Delegation_of_responsibility_for_m with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q5_4738630364456196912,Disclosure_Disclosure_305_4_GHG_emissions_intensity_16,broadMatch,0.2786,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 27.9%,"Verified alignment for Disclosure_Q5_4738630364456196912 <-> Disclosure_Disclosure_305_4_GHG_emissions_intensity_16 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q5_4738630364456196912,Disclosure_Disclosure_102_6_Scope_2_GHG_emissions,narrowMatch,0.2679,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 26.8%,"Verified alignment for Disclosure_Q5_4738630364456196912 <-> Disclosure_Disclosure_102_6_Scope_2_GHG_emissions with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q5_4738630364456196912,Disclosure_Disclosure_102_7_Scope_3_GHG_emissions,narrowMatch,0.2679,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 26.8%,"Verified alignment for Disclosure_Q5_4738630364456196912 <-> Disclosure_Disclosure_102_7_Scope_3_GHG_emissions with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q24_7549452836008929946,Disclosure_Disclosure_2_24_Embedding_policy_commitments,narrowMatch,0.2416,Rejected,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 24.2%,"Verified alignment for Disclosure_Q24_7549452836008929946 <-> Disclosure_Disclosure_2_24_Embedding_policy_commitments with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q6_-5688596556448572703,Disclosure_Disclosure_305_4_GHG_emissions_intensity_16,broadMatch,0.2741,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 27.4%,"Verified alignment for Disclosure_Q6_-5688596556448572703 <-> Disclosure_Disclosure_305_4_GHG_emissions_intensity_16 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q1_5402110912519703836,Disclosure_Disclosure_103_4_Energy_intensity,narrowMatch,0.2624,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 26.2%,"Verified alignment for Disclosure_Q1_5402110912519703836 <-> Disclosure_Disclosure_103_4_Energy_intensity with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q8_-7661858907240690343,Disclosure_Disclosure_102_9_GHG_removals_in_the_value_chain,narrowMatch,0.2654,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 26.5%,"Verified alignment for Disclosure_Q8_-7661858907240690343 <-> Disclosure_Disclosure_102_9_GHG_removals_in_the_value_chain with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q24_7549452836008929946,Disclosure_Disclosure_2_8_together_with_Disclosure_2_7_give,narrowMatch,0.2382,Rejected,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 23.8%,"Verified alignment for Disclosure_Q24_7549452836008929946 <-> Disclosure_Disclosure_2_8_together_with_Disclosure_2_7_give with relation narrowMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q24_7549452836008929946,Disclosure_Disclosure_2_2_Entities_included_in_the_organizati,broadMatch,0.2525,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 25.3%,"Verified alignment for Disclosure_Q24_7549452836008929946 <-> Disclosure_Disclosure_2_2_Entities_included_in_the_organizati with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q24_7549452836008929946,Disclosure_Disclosure_2_22_Statement_on_sustainable_developme,broadMatch,0.2416,Rejected,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 24.2%,"Verified alignment for Disclosure_Q24_7549452836008929946 <-> Disclosure_Disclosure_2_22_Statement_on_sustainable_developme with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q18_1786218148450392899,Disclosure_Disclosure_2_7_Employees_15,broadMatch,0.2498,Rejected,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 25.0%,"Verified alignment for Disclosure_Q18_1786218148450392899 <-> Disclosure_Disclosure_2_7_Employees_15 with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q1_-3785314918126152655,Disclosure_Disclosure_2_25_Processes_to_remediate_negative_im,broadMatch,0.2664,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 26.6%,"Verified alignment for Disclosure_Q1_-3785314918126152655 <-> Disclosure_Disclosure_2_25_Processes_to_remediate_negative_im with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
Disclosure_Q9_-8786632947149269380,Disclosure_Disclosure_2_6_Activities_value_chain_and_other_b,broadMatch,0.2772,Accepted,vllm,meta-llama/Meta-Llama-3-70B-Instruct,Evaluated with model 'meta-llama/Meta-Llama-3-70B-Instruct' (vllm) using learned weights at confidence 27.7%,"Verified alignment for Disclosure_Q9_-8786632947149269380 <-> Disclosure_Disclosure_2_6_Activities_value_chain_and_other_b with relation broadMatch using learned weights {'lexical': 0.4297, 'structural': 0.1935, 'property': 0.0, 'embedding': 0.3768}",['Low learned confidence score']
