brsr_id,gri_id,mapping_type,confidence,reasoning,explanation,model,response_time_sec,prompt_tokens,eval_tokens,total_tokens
P4_Q2,Disclosure 207-3 Stakeholder engagement and manage,Close Match,0.8,"Both BRSR P4_Q2 and GRI 207-3 focus on stakeholder engagement, but GRI 207-3 also covers management of concerns related to tax, which is not explicitly mentioned in BRSR P4_Q2.","GRI 207-3 is the closest match as it covers stakeholder engagement, which aligns with the BRSR requirement of listing key stakeholder groups and their frequency. Although GRI 207-3 also includes tax-related concerns, the core theme of stakeholder engagement makes it a strong candidate for mapping.",llama-3.1-8b-instant,0.658,633,171,804
P4_Q1,Disclosure 3-3 Management of material topics,Exact Match,1.0,"All candidates reference Disclosure 3-3 Management of material topics, but GRI-3-3 is the most direct match.","GRI-3-3 directly addresses the management of material topics, which is closely related to the consultation processes between stakeholders and the Board.",llama-3.1-8b-instant,0.589,594,113,707
P5_Q3,Disclosure 2-20 Process to determine remuneration,Exact Match,1.0,"Both BRSR P5_Q3 and GRI 2-20 are directly related to the process of determining remuneration, with GRI 2-20 being a specific disclosure on this topic.","GRI 2-20 Process to determine remuneration is the most relevant disclosure as it directly addresses the process of determining remuneration, which is the focus of BRSR P5_Q3.",llama-3.1-8b-instant,0.539,600,143,743
P5_Q4,Disclosure 2-26 Mechanisms for seeking advice and,Close Match,0.8,"Both BRSR P5_Q4 and GRI 2-26 focus on mechanisms for addressing human impacts, but GRI 2-26 is more specific to seeking advice and raising concerns.","GRI 2-26 is the closest match as it deals with mechanisms for addressing human impacts, although it's more focused on seeking advice and raising concerns. This is a close match due to the thematic overlap with BRSR P5_Q4.",llama-3.1-8b-instant,2.0,615,147,762
P5_Q7,Disclosure 406-1 Incidents of discrimination and c,Close Match,0.8,"While Disclosure 406-1 focuses on incidents of discrimination and corrective actions, it indirectly relates to mechanisms for preventing adverse consequences to the complainant. This is a close match as it addresses a similar theme of addressing discrimination.","Disclosure 406-1 is the best candidate as it deals with the consequences of discrimination, which is closely related to the BRSR requirement of preventing adverse consequences to the complainant.",llama-3.1-8b-instant,10.57,574,137,711
P5_Q8,Disclosure 2-12 and Disclosure 2-13 in GRI 2 requi,Close Match,0.8,"Both BRSR P5_Q8 and GRI 2-12 focus on the role of the highest governance body in overseeing human rights. While BRSR P5_Q8 specifically asks about human rights requirements in business agreements and contracts, GRI 2-12 provides broader guidance on human rights governance.","Although GRI 2-12 does not directly address business agreements and contracts, its focus on governance and oversight aligns closely with the spirit of BRSR P5_Q8. This makes GRI 2-12 a strong candidate for a close match.",llama-3.1-8b-instant,0.721,614,172,786
P5_Q9,Disclosure 2-16 Communication of critical concerns,Exact Match,1.0,"All candidates point to Disclosure 2-16, which is about Communication of critical concerns.","Given the identical reference to Disclosure 2-16 across all candidates, it's clear that this is the best match for BRSR P5_Q9.",llama-3.1-8b-instant,0.471,528,109,637
P5_Q1,Disclosure 2-25 Processes to remediate negative im,Close Match,0.8,"The BRSR requirement P5_Q1 focuses on business processes modified or introduced as a result of addressing, which aligns closely with GRI 2-25's focus on remediation of negative impacts.","While GRI 2-25 is more focused on remediation, the core idea of addressing and modifying business processes is closely related, making it the best candidate for a close match.",llama-3.1-8b-instant,0.456,595,138,733
P5_Q2,Disclosure 2-12 and Disclosure 2-13 in GRI 2 requi,Close Match,0.8,"Both BRSR P5_Q2 and GRI 2-12 require information on the role of the highest governance body in overseeing human rights due diligence. While GRI 2-12 is broader, covering both the role of the highest governance body and the management of actual impacts, it closely aligns with the scope and coverage of human rights due diligence in BRSR P5_Q2.","GRI 2-12 is the best match because it directly addresses the role of the highest governance body in overseeing human rights due diligence, which is a key aspect of BRSR P5_Q2. Although GRI 2-12 is broader, its focus on governance and oversight makes it a close match for the BRSR requirement.",llama-3.1-8b-instant,10.65,604,207,811
P5_Q3,None,No Match,0.0,None of the top candidate GRI disclosures directly address accessibility for differently abled visitors.,"The BRSR requirement P5_Q3 focuses on physical accessibility for differently abled visitors, which is not explicitly covered by the provided GRI disclosure options.",llama-3.1-8b-instant,0.602,612,103,715
P6_Q1,Disclosure 302-3 Energy intensity,Exact Match,1.0,"Both BRSR P6_Q1 and GRI 302-3 specifically ask for energy intensity ratio, making them an exact match.","GRI 302-3 is a requirement that asks for the energy intensity ratio for the organization, which aligns perfectly with the BRSR requirement P6_Q1.",llama-3.1-8b-instant,0.544,615,122,737
P6_Q2,"Disclosure 2-6 Activities, value chain and other b",Close Match,0.8,"Disclosure 2-6 Activities, value chain and other business relationships is closely related to the BRSR requirement as it involves identifying and managing business relationships, which may include designated consumers (DCs).","While Disclosure 2-6 does not directly ask about designated consumers, it is the closest match among the candidates as it deals with business relationships, which may include DCs. The other candidates are less relevant to the specific topic of designated consumers.",llama-3.1-8b-instant,10.623,607,146,753
P6_Q3,Disclosure 303-5 Water consumption,Exact Match,1.0,"Both BRSR P6_Q3 and GRI 303-5 have the same topic and disclosure requirement, focusing on water consumption.","The BRSR requirement is identical to the GRI recommendation for disclosure 303-5, making it an exact match.",llama-3.1-8b-instant,0.402,584,109,693
P6_Q4,Disclosure 303-4 Water discharge,Exact Match,1.0,"Directly related to water discharge, which is the core topic of BRSR P6_Q4.","BRSR P6_Q4 specifically asks about Zero Liquid Discharge, which is a subset of water discharge management. GRI 303-4 directly addresses water discharge, making it an exact match.",llama-3.1-8b-instant,0.405,546,118,664
P6_Q5,None,No Match,0.0,None of the top candidate GRI disclosures match the BRSR requirement for air emissions (other than GHG emissions).,"The BRSR requirement is focused on air emissions other than GHG emissions, which is not directly addressed by any of the top candidate GRI disclosures.",llama-3.1-8b-instant,0.414,643,110,753
P6_Q6,Disclosure 305-2 Energy indirect (Scope 2) GHG emi,Exact Match,1.0,"Direct match on Scope 2 GHG emissions, matching the BRSR requirement.",The GRI disclosure 305-2 directly corresponds to the BRSR requirement of providing details on greenhouse gas emissions (Scope 1 and Scope 2 emissions).,llama-3.1-8b-instant,10.627,660,107,767
P6_Q7,Disclosure 305-5 Reduction of GHG emissions,Exact Match,1.0,"Directly addresses the reduction of GHG emissions, matching the BRSR requirement's focus on projects related to reducing GHG emissions.","The GRI disclosure 305-5 directly asks for the reduction of GHG emissions, aligning perfectly with the BRSR requirement's focus on projects related to reducing GHG emissions.",llama-3.1-8b-instant,0.617,591,121,712
P6_Q8,Disclosure 306-2 Management of significant waste-r,Exact Match,1.0,"The GRI disclosure 306-2 directly addresses the management of significant waste-related impacts, which is the primary focus of BRSR requirement P6_Q8.","The requirement specifically asks for details related to waste management, and GRI 306-2 is the most relevant disclosure that covers this topic.",llama-3.1-8b-instant,0.491,586,117,703
P6_Q9,Disclosure 3-3 Management of material topics,Broad Match,0.8,"While not a direct match, Disclosure 3-3 Management of material topics is the closest match as it involves managing topics, which can include waste management practices.","Disclosure 3-3 is a broad match because it encompasses the management of material topics, which can include waste management practices. Although it's not a direct match, it's the closest among the candidates.",llama-3.1-8b-instant,0.49,626,129,755
P6_Q11,Disclosure 2-12 and Disclosure 2-13 in GRI 2 requi,Close Match,0.8,"Both BRSR P6_Q11 and GRI 2-12 require information on environmental impact assessments, but GRI 2-12 is more specific to the role of the highest governance body in overseeing these assessments.","GRI 2-12 is the closest match as it deals with environmental impact assessments, but it's more focused on governance oversight. This makes it a close match rather than an exact match.",llama-3.1-8b-instant,10.58,597,143,740
P6_Q12,Disclosure 2-27 Compliance with laws and regulatio,Exact Match,1.0,"Directly addresses compliance with laws and regulations, matching the BRSR requirement's focus on environmental law/regulations.","The GRI 2-27 disclosure specifically requires information on compliance with laws and regulations, aligning closely with the BRSR requirement's emphasis on environmental law/regulations.",llama-3.1-8b-instant,0.404,639,114,753
P6_Q1,Disclosure 103-3 Upstream and downstream energy co,Close Match,0.8,"While Disclosure 103-3 focuses on upstream and downstream energy consumption, it also mentions non-renewable energy sources, which is closely related to the BRSR requirement for renewable energy consumption.","Disclosure 103-3 is the best match because it deals with energy consumption, which is the core of the BRSR requirement. Although it doesn't specifically mention renewable energy, its focus on non-renewable energy sources makes it a close match.",llama-3.1-8b-instant,0.6,621,146,767
P6_Q2,Disclosure 303-4 Water discharge,Exact Match,1.0,"Both BRSR P6_Q2 and GRI 303-4 are related to water discharge, with GRI 303-4 being a requirement for total water discharge to all areas.","GRI 303-4 is the most relevant disclosure as it directly addresses the requirement for water discharge details, making it an exact match.",llama-3.1-8b-instant,0.371,535,123,658
P6_Q3,Disclosure 303-5 Water consumption,Exact Match,1.0,Directly matches the BRSR requirement of reporting water consumption in areas of water stress.,"GRI 303-5 Water consumption is the most relevant disclosure as it directly addresses the reporting of water consumption, which is the core requirement of P6_Q3.",llama-3.1-8b-instant,10.548,503,111,614
P6_Q4,None,No Match,0.0,None of the provided GRI disclosures match the BRSR requirement for Scope 3 emissions and intensity.,"The BRSR requirement is focused on Scope 3 emissions and intensity, which is not related to the biodiversity-related GRI disclosures provided.",llama-3.1-8b-instant,0.446,618,103,721
P6_Q7,None,No Match,0.0,None of the provided GRI disclosures directly address business continuity and disaster management plans.,"The GRI disclosures provided focus on general management and governance, but do not specifically mention business continuity and disaster management plans.",llama-3.1-8b-instant,0.349,547,94,641
P6_Q8,Disclosure 308-2 Negative environmental impacts in,Close Match,0.8,"Both BRSR P6_Q8 and GRI 308-2 focus on environmental impacts in the supply chain, but GRI 308-2 is more specific about actions taken.","GRI 308-2 is the closest match as it directly addresses negative environmental impacts in the supply chain, aligning with the BRSR requirement's focus on significant adverse environmental impacts in the value chain.",llama-3.1-8b-instant,0.581,602,136,738
P6_Q9,"Disclosure 2-6 Activities, value chain and other b",Close Match,0.8,"Disclosure 2-6 Activities, value chain and other business relationships is the closest match as it covers the value chain aspect, although it does not specifically mention percentage of value chain partners.","Disclosure 2-6 is a close match because it deals with the value chain and business relationships, which is relevant to the BRSR requirement. However, it does not specifically ask for the percentage of value chain partners, making it a close rather than an exact match.",llama-3.1-8b-instant,0.497,629,148,777
P7_Q1,Disclosure 2-28 Membership associations,Exact Match,1.0,"Direct alignment with the BRSR requirement, as both refer to 'Membership associations'.",The GRI 2:2-28 disclosure directly corresponds to the BRSR requirement of reporting the number of affiliations with trade and industry chambers/associations.,llama-3.1-8b-instant,10.572,497,113,610
P7_Q2,Disclosure 206-1 Legal actions for anti-competitiv,Exact Match,1.0,"Directly related to anti-competitive behavior, anti-trust, and monopoly practices.","The BRSR requirement P7_Q2 is directly asking for corrective actions related to anti-competitive issues, which is exactly what GRI 206-1 is about.",llama-3.1-8b-instant,0.409,572,108,680
P7_Q1,Disclosure 2-23 Policy commitments,Close Match,0.8,"Both BRSR P7_Q1 and GRI Disclosure 2-23 Policy commitments relate to public policy positions, but GRI Disclosure 2-23 is more focused on policy commitments rather than advocacy.","Although not an exact match, GRI Disclosure 2-23 Policy commitments is the closest match among the candidates, as it deals with policy-related information, which is also the case for BRSR P7_Q1.",llama-3.1-8b-instant,0.523,500,147,647
P8_Q1,Disclosure 2-12 and Disclosure 2-13 in GRI 2 requi,Close Match,0.8,"Disclosure 2-12 and Disclosure 2-13 in GRI 2 require information on the role of the highest governance body in overseeing social impacts, which aligns with the BRSR requirement for Social Impact Assessments (SIA) of projects.","Although the exact wording is not identical, the essence of managing social impacts and overseeing governance aligns closely with the BRSR requirement.",llama-3.1-8b-instant,0.455,538,138,676
P8_Q2,None,No Match,0.0,None of the provided GRI disclosure IDs match the Rehabilitation and Resettlement Principle.,The provided GRI disclosure IDs do not contain any information related to Rehabilitation and Resettlement Principle.,llama-3.1-8b-instant,10.606,505,91,596
P8_Q3,Disclosure 2-25 Processes to remediate negative im,Exact Match,1.0,Direct thematic overlap with 'Processes to remediate negative impacts' which aligns with grievance redress mechanisms.,"GRI 2-25 directly addresses the remediation of negative impacts, which is closely related to the mechanisms for receiving and redressing grievances of the community.",llama-3.1-8b-instant,0.515,535,113,648
P8_Q4,Disclosure 204-1 Proportion of spending on local s,Close Match,0.8,"While Disclosure 204-1 is about spending on local suppliers, it's close to the BRSR requirement which focuses on sourcing from suppliers in general, not necessarily local.","The BRSR requirement is about the percentage of input material sourced from suppliers, which is similar to the concept of spending on local suppliers in Disclosure 204-1. Although the wording is not identical, the underlying theme is closely related.",llama-3.1-8b-instant,0.613,525,139,664
P8_Q1,Disclosure 2-25 Processes to remediate negative im,Exact Match,1.0,"Directly addresses remediation of negative social impacts, aligning with the BRSR requirement.","GRI 2-25 Processes to remediate negative impacts is a direct match to the BRSR requirement, as it specifically deals with actions taken to mitigate negative social impacts.",llama-3.1-8b-instant,0.365,620,114,734
P8_Q2,"Disclosure 2-6 Activities, value chain and other b",Broad Match,0.8,"Disclosure 2-6 Activities, value chain and other business relationships is a broad match because it covers CSR projects undertaken by the entity in its value chain and business relationships, which is related to CSR projects.","Although Disclosure 2-6 is not a direct match, it is the closest match among the candidates as it covers CSR projects in the value chain and business relationships, which is related to CSR projects undertaken by the entity.",llama-3.1-8b-instant,0.531,587,141,728
P8_Q3,Disclosure 204-1 Proportion of spending on local s,Close Match,0.8,"Both BRSR P8_Q3 and GRI Disclosure 204-1 relate to procurement practices, but BRSR specifically asks about preferential procurement policies, whereas GRI 204-1 focuses on spending with local suppliers.","Although not an exact match, GRI 204-1 is the closest candidate as it deals with procurement practices, which is the core theme of BRSR P8_Q3. The difference lies in the specific focus on local suppliers in GRI 204-1, whereas BRSR P8_Q3 is more general in its requirement for a preferential procurement policy.",llama-3.1-8b-instant,10.66,546,181,727
P8_Q4,Disclosure 101-3 Access and benefit-sharing,Exact Match,1.0,"The GRI disclosure 101-3 Access and benefit-sharing directly corresponds to the BRSR requirement P8_Q4, which asks for details of benefits derived and shared from intellectual properties.","The GRI disclosure 101-3 is a direct match as it deals with access and benefit-sharing, which is closely related to the benefits derived and shared from intellectual properties.",llama-3.1-8b-instant,0.403,491,129,620
P8_Q5,Disclosure 205-1 Operations assessed for risks rel,Close Match,0.8,"Both BRSR P8_Q5 and GRI 205-1 relate to risk management, but GRI 205-1 specifically focuses on corruption risks, whereas BRSR P8_Q5 is more general. However, the core idea of assessing risks is present in both.","Although GRI 205-1 is not an exact match, it is the closest match among the candidates due to its focus on risk management, which is also present in BRSR P8_Q5.",llama-3.1-8b-instant,0.541,642,156,798
P9_Q1,Disclosure 2-25 Processes to remediate negative im,Close Match,0.8,"Both BRSR P9_Q1 and GRI Disclosure 2-25 focus on addressing negative impacts, but BRSR specifically asks for mechanisms to receive and respond to consumer complaints, which is closely related to remediation processes.","Although Disclosure 2-25 is more focused on remediation of negative impacts, it is the closest match among the candidates, given the overlap in addressing consumer concerns and impacts.",llama-3.1-8b-instant,10.619,642,140,782
P9_Q2,None,No Match,0.0,None of the provided GRI disclosures directly relate to the turnover of products and services as a percentage of total turnover.,"The BRSR requirement P9_Q2 is focused on product/service turnover, which is not directly addressed by any of the top candidate GRI disclosures.",llama-3.1-8b-instant,0.461,660,108,768
P9_Q3,Disclosure 418-1 Substantiated complaints concerni,Close Match,0.8,"Both BRSR P9_Q3 and GRI 418-1 deal with complaints, but BRSR is more focused on consumer complaints, whereas GRI 418-1 is specifically about customer privacy and data breaches.","Although the GRI disclosure is more specific to customer privacy and data breaches, the core concept of complaints is present in both, making it a close match.",llama-3.1-8b-instant,0.479,560,133,693
P9_Q4,Disclosure 417-2 Incidents of non-compliance conce,Close Match,0.8,"Both BRSR P9_Q4 and GRI 417-2 deal with incidents of non-compliance, but GRI 417-2 specifically focuses on product and service information and labeling, whereas BRSR P9_Q4 is more general about product recalls due to safety issues.","Although not an exact match, GRI 417-2 is the closest match as it deals with incidents of non-compliance, which can include product recalls. The confidence score is 0.8 due to the slight difference in scope.",llama-3.1-8b-instant,0.546,606,163,769
P9_Q5,Disclosure 2-23 Policy commitments,Close Match,0.8,"Both BRSR P9_Q5 and GRI Disclosure 2-23 focus on the organization's policy commitments, but GRI 2-23 is broader in scope. However, it's the closest match among the candidates.","GRI Disclosure 2-23 Policy commitments is the best match because it deals with the organization's policy commitments, which is closely related to having a framework/policy on cyber security and risks related to data.",llama-3.1-8b-instant,11.011,639,147,786
P9_Q1,"Disclosure 2-6 Activities, value chain and other b",Close Match,0.8,"Disclosure 2-6 Activities, value chain and other business relationships is closely related to the BRSR requirement as it involves reporting on the channels/platforms where information on products and services can be found, which is a part of the organization's activities and value chain.","While Disclosure 2-6 is not an exact match, it is the closest match among the candidates as it deals with the organization's activities and value chain, which is relevant to the BRSR requirement.",llama-3.1-8b-instant,0.6,614,152,766
P9_Q2,Disclosure 417-1 Requirements for product and serv,Close Match,0.8,"Both BRSR P9_Q2 and GRI 417-1 relate to consumer information and labeling, but GRI 417-1 is more specific to product and service information.","GRI 417-1 is the closest match as it deals with product and service information and labeling, which is relevant to informing and educating consumers about safe and responsible usage.",llama-3.1-8b-instant,0.534,570,132,702
P9_Q3,Disclosure 3-3 Management of material topics,Close Match,0.8,"While the GRI 3-3 disclosure focuses on management of material topics, it indirectly addresses the mechanisms in place to inform consumers of potential disruptions. The BRSR requirement is more specific to consumer notification, but the GRI disclosure provides a broader framework for managing material topics.","The GRI 3-3 disclosure is the closest match among the candidates, as it deals with the management of material topics, which may include risks of disruption or discontinuation. However, it does not explicitly address consumer notification, making it a close rather than an exact match.",llama-3.1-8b-instant,10.644,595,171,766
P9_Q4,Disclosure 417-1 Requirements for product and serv,Exact Match,1.0,"The BRSR requirement P9_Q4 directly asks about displaying product information, which aligns perfectly with GRI 417-1's focus on product and service information and labeling.","GRI 417-1 is the most relevant disclosure as it deals with the exact topic of product information, making it an exact match.",llama-3.1-8b-instant,0.411,652,121,773
P9_Q5,Disclosure 418-1 Substantiated complaints concerni,Exact Match,1.0,"Disclosure 418-1 directly addresses substantiated complaints concerning breaches of customer privacy and losses of customer data, which is the exact topic of BRSR requirement P9_Q5.",The language and content of Disclosure 418-1 align perfectly with the requirement to provide information relating to data breaches.,llama-3.1-8b-instant,0.504,608,115,723
